ID,Severity,Type,File,Line,Message,Suggestion,"Original Code","Full Path"
1,HIGH,METHOD,2025_10_07_214921_add_missing_columns_to_users_table.php,45,"Forbidden method: dropColumn()","Always check column existence with Schema::hasColumn() first",$table->dropColumn([,/Users/macbookpro/Projects/yalihanai/database/migrations/2025_10_07_214921_add_missing_columns_to_users_table.php
2,HIGH,METHOD,2025_10_08_132426_update_sites_status_column.php,31,"Forbidden method: dropColumn()","Always check column existence with Schema::hasColumn() first",$table->dropColumn('active');,/Users/macbookpro/Projects/yalihanai/database/migrations/2025_10_08_132426_update_sites_status_column.php
3,HIGH,METHOD,2025_10_08_132426_update_sites_status_column.php,57,"Forbidden method: dropColumn()","Always check column existence with Schema::hasColumn() first",$table->dropColumn('status');,/Users/macbookpro/Projects/yalihanai/database/migrations/2025_10_08_132426_update_sites_status_column.php
4,HIGH,METHOD,2025_10_10_071029_add_last_activity_at_to_users_table.php,22,"Forbidden method: dropColumn()","Always check column existence with Schema::hasColumn() first",$table->dropColumn('last_activity_at');,/Users/macbookpro/Projects/yalihanai/database/migrations/2025_10_10_071029_add_last_activity_at_to_users_table.php
5,HIGH,METHOD,2025_10_10_174618_add_seviye_to_ilan_kategorileri_table.php,31,"Forbidden method: dropColumn()","Always check column existence with Schema::hasColumn() first",$table->dropColumn('seviye');,/Users/macbookpro/Projects/yalihanai/database/migrations/2025_10_10_174618_add_seviye_to_ilan_kategorileri_table.php
6,HIGH,METHOD,2025_10_10_184720_add_talep_id_to_eslesmeler_table.php,27,"Forbidden method: dropColumn()","Always check column existence with Schema::hasColumn() first",$table->dropColumn('talep_id');,/Users/macbookpro/Projects/yalihanai/database/migrations/2025_10_10_184720_add_talep_id_to_eslesmeler_table.php
7,HIGH,METHOD,2025_10_11_180000_add_referans_system_to_ilanlar_table.php,57,"Forbidden method: dropColumn()","Always check column existence with Schema::hasColumn() first",$table->dropColumn([,/Users/macbookpro/Projects/yalihanai/database/migrations/2025_10_11_180000_add_referans_system_to_ilanlar_table.php
8,HIGH,METHOD,2025_10_11_215700_add_anahtar_management_fields_to_ilanlar_table.php,51,"Forbidden method: dropColumn()","Always check column existence with Schema::hasColumn() first",$table->dropColumn([,/Users/macbookpro/Projects/yalihanai/database/migrations/2025_10_11_215700_add_anahtar_management_fields_to_ilanlar_table.php
9,CRITICAL,METHOD,2025_10_12_174311_rename_site_adi_to_name_in_site_apartmanlar_table.php,19,"Forbidden method: renameColumn()","Use DB::statement() with ALTER TABLE ... CHANGE","$table->renameColumn('site_adi', 'name');",/Users/macbookpro/Projects/yalihanai/database/migrations/2025_10_12_174311_rename_site_adi_to_name_in_site_apartmanlar_table.php
10,CRITICAL,METHOD,2025_10_12_174311_rename_site_adi_to_name_in_site_apartmanlar_table.php,32,"Forbidden method: renameColumn()","Use DB::statement() with ALTER TABLE ... CHANGE","$table->renameColumn('name', 'site_adi');",/Users/macbookpro/Projects/yalihanai/database/migrations/2025_10_12_174311_rename_site_adi_to_name_in_site_apartmanlar_table.php
11,HIGH,METHOD,2025_10_15_213116_add_danisman_id_to_ilanlar_table.php,28,"Forbidden method: dropColumn()","Always check column existence with Schema::hasColumn() first",$table->dropColumn('danisman_id');,/Users/macbookpro/Projects/yalihanai/database/migrations/2025_10_15_213116_add_danisman_id_to_ilanlar_table.php
